created_at,full_text,location,mentions,tokens,stemmed_tokens,clean_text
Tue Sep 17 23:55:49 +0000 2024,Yuk ganyang Fufufafa sesuai anjuran HRS PKS pasti berani yukk,,"['@UusRsd', '@msaid_didu']","['Yuk', 'ganyang', 'Fufufafa', 'sesuai', 'anjuran', 'HRS', 'PKS', 'berani', 'yukk']","['yuk', 'ganyang', 'fufufafa', 'sesuai', 'anjur', 'hrs', 'pks', 'berani', 'yukk']",yuk ganyang fufufafa sesuai anjur hrs pks berani yukk
Tue Sep 17 23:55:41 +0000 2024,Biasadrama mulyonopura kaget fufufafa fufufafaaaa,,['@kompascom'],"['Biasadrama', 'mulyonopura', 'kaget', 'fufufafa', 'fufufafaaaa']","['biasadrama', 'mulyonopura', 'kaget', 'fufufafa', 'fufufafaaaa']",biasadrama mulyonopura kaget fufufafa fufufafaaaa
Tue Sep 17 23:55:11 +0000 2024,Jamet menjijikkan Mesum pula,"Jakarta Capital Region, Indone",['@fufu__fafa'],"['Jamet', 'menjijikkan', 'Mesum']","['jamet', 'jijik', 'mesum']",jamet jijik mesum
Tue Sep 17 23:55:00 +0000 2024,Nebeng temenato nebeng sopir temen Fufufafa fufufafa,,['@satriohendri'],"['Nebeng', 'temenato', 'nebeng', 'sopir', 'temen', 'Fufufafa', 'fufufafa']","['nebeng', 'temenato', 'nebeng', 'sopir', 'temen', 'fufufafa', 'fufufafa']",nebeng temenato nebeng sopir temen fufufafa fufufafa
Tue Sep 17 23:54:58 +0000 2024,kasian org ini model penakut Sama fufufafa yg udah menghina dirinya pun diam aja Bengak,,['@andikamalreza'],"['kasian', 'org', 'model', 'penakut', 'fufufafa', 'yg', 'udah', 'menghina', 'diam', 'aja', 'Bengak']","['kasi', 'org', 'model', 'takut', 'fufufafa', 'yg', 'udah', 'hina', 'diam', 'aja', 'bengak']",kasi org model takut fufufafa yg udah hina diam aja bengak
Tue Sep 17 23:54:48 +0000 2024,Mulyono paling bisa ngeles Akibat bnyk bohong,"Tambun, Indonesia",['@NenkMonica'],"['Mulyono', 'ngeles', 'Akibat', 'bnyk', 'bohong']","['mulyono', 'ngeles', 'akibat', 'bnyk', 'bohong']",mulyono ngeles akibat bnyk bohong
Tue Sep 17 23:54:35 +0000 2024,Apa katanya Bu Laraslg ngomongin fufufafa ya,Niergends,['@Pemenang999'],"['Bu', 'Laraslg', 'ngomongin', 'fufufafa', 'ya']","['bu', 'laraslg', 'ngomongin', 'fufufafa', 'ya']",bu laraslg ngomongin fufufafa ya
Tue Sep 17 23:54:22 +0000 2024,Izin share photo dari sebelah hikmahnya kadang hidup se fufu fafa itu sih,,[],"['Izin', 'share', 'photo', 'sebelah', 'hikmahnya', 'kadang', 'hidup', 'fufu', 'fafa', 'sih']","['izin', 'share', 'photo', 'belah', 'hikmah', 'kadang', 'hidup', 'fufu', 'fafa', 'sih']",izin share photo belah hikmah kadang hidup fufu fafa sih
Tue Sep 17 23:54:02 +0000 2024,Ada apa dg fufufafa sampai orang ini merasa perlu turun tangan Kenapa sdh segitu hebohnya ga ada satupun institusi turun tangan cari tau pemilik akun ini amp kasih penjelasan Hei fufufafa Keluar kau pengecut,,[],"['dg', 'fufufafa', 'orang', 'turun', 'tangan', 'sdh', 'segitu', 'hebohnya', 'ga', 'satupun', 'institusi', 'turun', 'tangan', 'cari', 'tau', 'pemilik', 'akun', 'amp', 'kasih', 'penjelasan', 'Hei', 'fufufafa', 'kau', 'pengecut']","['dg', 'fufufafa', 'orang', 'turun', 'tangan', 'sdh', 'segitu', 'heboh', 'ga', 'satu', 'institusi', 'turun', 'tangan', 'cari', 'tau', 'milik', 'akun', 'amp', 'kasih', 'jelas', 'hei', 'fufufafa', 'kau', 'kecut']",dg fufufafa orang turun tangan sdh segitu heboh ga satu institusi turun tangan cari tau milik akun amp kasih jelas hei fufufafa kau kecut
Tue Sep 17 23:52:25 +0000 2024,Biasanya dia lagi Menghayal Sesuai apa yg ada di akun KasKus FufuFafa miliknya apalagi Cuitan Mwaumnya sama Artis,,['@Duren___'],"['Menghayal', 'Sesuai', 'yg', 'akun', 'KasKus', 'FufuFafa', 'miliknya', 'Cuitan', 'Mwaumnya', 'Artis']","['menghayal', 'sesuai', 'yg', 'akun', 'kaskus', 'fufufafa', 'milik', 'cuit', 'mwaumnya', 'artis']",menghayal sesuai yg akun kaskus fufufafa milik cuit mwaumnya artis
Tue Sep 17 23:52:23 +0000 2024,keren ini pepatah baru fufufafa dalam perahu fufufafa tidak tahu,,[],"['keren', 'pepatah', 'fufufafa', 'perahu', 'fufufafa']","['keren', 'pepatah', 'fufufafa', 'perahu', 'fufufafa']",keren pepatah fufufafa perahu fufufafa
Tue Sep 17 23:52:01 +0000 2024,jangan lupakan fufufafa case Ngik,Jakarta Capital Region,['@HumorJonTampan'],"['lupakan', 'fufufafa', 'case', 'Ngik']","['lupa', 'fufufafa', 'case', 'ngik']",lupa fufufafa case ngik
Tue Sep 17 23:51:59 +0000 2024,Bgmn dg fufufafa pak Dengan sumpah prajurit insyaAllah semua bisa diatasi dengan baik,,['@prabowo'],"['Bgmn', 'dg', 'fufufafa', 'sumpah', 'prajurit', 'insyaAllah', 'diatasi']","['bgmn', 'dg', 'fufufafa', 'sumpah', 'prajurit', 'insyaallah', 'atas']",bgmn dg fufufafa sumpah prajurit insyaallah atas
Tue Sep 17 23:51:50 +0000 2024,Apakah ada yg nebeng ombak ini sehingga minggu terakhir tdk ada hashtag perlawanan Siapa yg diuntungkan dari ombak jepri dan fufufafa ini,,['@fufu__fafa'],"['yg', 'nebeng', 'ombak', 'minggu', 'tdk', 'hashtag', 'perlawanan', 'yg', 'diuntungkan', 'ombak', 'jepri', 'fufufafa']","['yg', 'nebeng', 'ombak', 'minggu', 'tdk', 'hashtag', 'lawan', 'yg', 'untung', 'ombak', 'jepri', 'fufufafa']",yg nebeng ombak minggu tdk hashtag lawan yg untung ombak jepri fufufafa
