conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1.83585E+18;Tue Sep 17 23:55:49 +0000 2024;3;@UusRsd @msaid_didu Yuk ganyang Fufufafa sesuai anjuran HRS PKS pasti berani yukk...;1.83619E+18;;UusRsd;in;;0;0;0;https://x.com/makelarcapres/status/1836192364668588124;1.65562E+18;makelarcapres
1.83617E+18;Tue Sep 17 23:55:41 +0000 2024;0;@kompascom Biasa....drama mulyono...pura2 kaget fufufafa fufufafaaaa ;1.83619E+18;;kompascom;in;;0;0;0;https://x.com/BantengDotID/status/1836192330896019567;1.75847E+18;BantengDotID
1.83581E+18;Tue Sep 17 23:55:11 +0000 2024;0;@fufu__fafa Jamet menjijikkan. Mesum pula.;1.83619E+18;;fufu__fafa;in;Jakarta Capital Region, Indone;0;0;0;https://x.com/kucingtuabangka/status/1836192205847114084;1.65873E+18;kucingtuabangka
1.83612E+18;Tue Sep 17 23:55:00 +0000 2024;9;@satriohendri Nebeng temen...ato nebeng sopir temen??? Fufufafa fufufafa https://t.co/GusiMiXLtD;1.83619E+18;https://pbs.twimg.com/media/GXt3CR9akAMVaUU.jpg;satriohendri;in;;0;0;0;https://x.com/BantengDotID/status/1836192161693602201;1.75847E+18;BantengDotID
1.83596E+18;Tue Sep 17 23:54:58 +0000 2024;0;@andikamalreza kasian org ini.. model penakut. Sama fufufafa yg udah menghina dirinya pun diam aja. Bengak ;1.83619E+18;;andikamalreza;in;;0;0;0;https://x.com/bram24hugery/status/1836192150792650817;1.80958E+18;bram24hugery
1.83603E+18;Tue Sep 17 23:54:48 +0000 2024;0;@NenkMonica Mulyono paling bisa ngeles...... Akibat bnyk bohong;1.83619E+18;;NenkMonica;in;Tambun, Indonesia;0;0;0;https://x.com/GanRusdi/status/1836192108908306921;8.17391E+17;GanRusdi
1.83618E+18;Tue Sep 17 23:54:35 +0000 2024;1;@Pemenang999 Apa katanya Bu Laras....lg ngomongin fufufafa ya?;1.83619E+18;;Pemenang999;in;Niergends;0;1;0;https://x.com/HilFachruddin/status/1836192053912572133;157111726;HilFachruddin
1.83619E+18;Tue Sep 17 23:54:22 +0000 2024;0;Izin share photo dari sebelah hikmahnya kadang hidup se fufu fafa itu sih https://t.co/hP3VtY7bn6;1.83619E+18;https://pbs.twimg.com/media/GXt24XoakAIJAca.jpg;;in;;0;0;0;https://x.com/raffa_triyoga/status/1836192002725249443;1.47232E+18;raffa_triyoga
1.83619E+18;Tue Sep 17 23:54:02 +0000 2024;0;Ada apa dg fufufafa sampai orang ini merasa perlu turun tangan? Kenapa sdh segitu hebohnya ga ada satupun institusi turun tangan cari tau pemilik akun ini &amp;;;;;;;;;;;
1.83573E+18;Tue Sep 17 23:52:25 +0000 2024;0;@Duren___ Biasanya dia lagi Menghayal Sesuai apa yg ada di akun KasKus FufuFafa miliknya apalagi Cuitan Mwaumnya sama Artis ;1.83619E+18;;Duren___;in;;0;0;0;https://x.com/RKianSantang99/status/1836191508745339321;1.60398E+18;RKianSantang99
1.83619E+18;Tue Sep 17 23:52:23 +0000 2024;0;keren ini... pepatah baru : fufufafa dalam perahu fufufafa tidak tahu ...;1.83619E+18;;;in;;0;0;0;https://x.com/MabrurYoung211/status/1836191500042158249;1.71707E+18;MabrurYoung211
